joints_angle1_ANGLE_HIP_LEFT,joints_angle1_ANGLE_HIPCOR_LEFT,joints_angle1_ANGLE_KNEE_LEFT,joints_angle1_ANGLE_ANKLE_LEFT,joints_angle1_ANGLE_HIP_RIGHT,joints_angle1_ANGLE_HIPCOR_RIGHT,joints_angle1_ANGLE_KNEE_RIGHT,joints_angle1_ANGLE_ANKLE_RIGHT,energy1_energy,footfall1_left,footfall1_right,distance1_distance
-0.344742,-5.9733599999999987e-05,0.275926,-0.0378731,-0.72028,-0.000127997,1.2791,0.00116793,93.4296,1,0,0.304823
-0.342645,-5.9739e-05,0.275107,-0.0388219,-0.722308,-0.00012787,1.2779200000000002,0.00151839,93.6619,1,0,0.306051
-0.340549,-5.97444e-05,0.274291,-0.0397726,-0.724304,-0.000127739,1.27667,0.00185164,93.8912,1,0,0.307278
-0.338456,-5.97498e-05,0.273481,-0.0407267,-0.72627,-0.000127604,1.27535,0.00216437,94.1231,1,0,0.30850700000000003
-0.336366,-5.97554e-05,0.272675,-0.041682800000000006,-0.728202,-0.000127465,1.27395,0.00245347,94.3521,1,0,0.309736
-0.334278,-5.976100000000001e-05,0.271876,-0.0426424,-0.730102,-0.000127324,1.27249,0.00271715,94.5836,1,0,0.31096599999999996
-0.332192,-5.97671e-05,0.271081,-0.0436041,-0.731969,-0.00012717700000000002,1.27095,0.00295387,94.8122,1,0,0.31219600000000003
-0.33010900000000004,-5.97732e-05,0.270293,-0.044569300000000006,-0.7338020000000001,-0.000127028,1.26934,0.00316345,95.0433,1,0,0.313427
-0.32802800000000004,-5.97799e-05,0.26951,-0.0455367,-0.7356,-0.000126874,1.26766,0.00334599,95.2715,1,0,0.314658
-0.325949,-5.97867e-05,0.26873400000000003,-0.0465077,-0.737363,-0.000126718,1.26591,0.00350285,95.5022,1,0,0.315891
-0.323872,-5.9794e-05,0.267964,-0.047481,-0.7390909999999999,-0.000126557,1.26409,0.00363557,95.7301,1,0,0.317123
-0.32179800000000003,-5.9801499999999986e-05,0.267202,-0.048458,-0.740783,-0.000126394,1.26219,0.00374683,95.9603,1,0,0.318357
-0.31972399999999995,-5.98096e-05,0.266445,-0.0494374,-0.742438,-0.000126226,1.26022,0.00383931,96.1878,1,0,0.31959099999999996
-0.317653,-5.98178e-05,0.265698,-0.0504205,-0.744057,-0.000126056,1.25818,0.00391663,96.4175,1,0,0.320825
-0.315583,-5.98267e-05,0.264956,-0.0514062,-0.745638,-0.000125882,1.25607,0.0039822,96.6446,1,0,0.322061
-0.313515,-5.98355e-05,0.264224,-0.052395800000000006,-0.7471810000000001,-0.000125706,1.25388,0.00404012,96.8739,1,0,0.32329600000000003
-0.311449,-5.9845e-05,0.263498,-0.053388,-0.748686,-0.000125526,1.2516200000000002,0.00409404,97.1006,1,0,0.324533
-0.309384,-5.98545e-05,0.262781,-0.05438430000000001,-0.750153,-0.000125344,1.24929,0.00414806,97.3295,1,0,0.32577
-0.30732,-5.98646e-05,0.262072,-0.055383400000000006,-0.75158,-0.000125158,1.24689,0.00420558,97.5557,1,0,0.327007
-0.305258,-5.987470000000001e-05,0.261372,-0.056386800000000015,-0.752967,-0.00012497,1.24441,0.00427021,97.7842,1,0,0.328245
-0.303197,-5.98853e-05,0.26068,-0.0573931,-0.754315,-0.000124778,1.24186,0.00434465,98.01,1,0,0.329484
-0.301138,-5.98957e-05,0.259998,-0.0584039,-0.755622,-0.000124585,1.2392299999999998,0.00443165,98.238,1,0,0.330723
-0.299079,-5.99067e-05,0.259324,-0.0594179,-0.756889,-0.000124389,1.23653,0.00453286,98.4634,1,0,0.331963
